,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
26578,USA,United States of America,Pacific Wind LLC,USA0057757,151.7,34.8914,-118.4325,Wind,,,,2012.0,EDF Renewable Asset Holdings  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,55141,2017.0,323.214,317.093,267.079,328.829,309.819,
26579,USA,United States of America,Pacific-Ultrapower Chinese Station,USA0050560,25.0,37.8741,-120.4776,Waste,,,,1986.0,IHI Power Services Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17487,2017.0,128.149,134.77700199999998,133.798996,0.0,118.564,
26580,USA,United States of America,Packaging Corp of America,USA0050296,72.5,35.0471,-88.2661,Biomass,Waste,Gas,Other,1992.7586206896551,Packaging Corp of America,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,386.477541,404.269018,416.4792299999999,419.683747,430.606209,
26581,USA,United States of America,Packaging of America Tomahawk Mill,USA0050476,18.7,45.4431,-89.7342,Gas,Waste,Oil,Biomass,1958.5882352941176,PCA-Tomahawk Mill,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,117.73745499999998,122.060146,113.6475,114.049993,119.714335,
26582,USA,United States of America,Packwood,USA0003929,27.5,46.5958,-121.5694,Hydro,,,,1964.0,Energy Northwest,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,36340,2017.0,97.835,128.333,87.72200000000001,96.505,103.512,
26583,USA,United States of America,Pacolet Diesel Generation Facility,USA0057030,5.4,34.8986,-81.7397,Oil,,,,2007.0,Lockhart Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,26457,2017.0,0.156,0.225,0.145,-0.118,-0.09,
26584,USA,United States of America,Paddys Run,USA0001366,226.6,38.2236,-85.8417,Gas,,,,1993.9223300970875,Louisville Gas & Electric Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,25150,2017.0,0.0,0.0,0.0,98.479,63.375,
26585,USA,United States of America,Padelford Solar,USA0058032,2.2,41.8533,-71.065,Solar,,,,2013.0,Consolidated Edison Solutions Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,3.38085,0.0,3.559,3.771,3.386,
26586,USA,United States of America,Paia Hydroelectric Plant,USA0058277,1.3,20.8867,-156.3378,Hydro,,,,1912.0,Alexander & Baldwin  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,3.77685,0.7613099999999999,7.140000000000001,0.218,0.0,
26587,USA,United States of America,Painesville,USA0002936,55.5,41.7265,-81.254,Coal,Oil,Gas,,1972.747747747748,City of Painesville,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,29580,2017.0,12.427,4.836,9.44,10.397,3.333,
26588,USA,United States of America,Painted Hills Wind Park,USA0050533,19.0,33.9369,-116.6183,Wind,,,,1985.0,HH Management  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,29582,2017.0,32.42,32.333,31.806,32.833,31.822,
26589,USA,United States of America,Paisley Geothermal Generating Plant,USA0059382,3.7,42.6958,-120.5578,Geothermal,,,,2015.0,Surprise Valley Electrification,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,61267,2017.0,,,1.71,4.129,1.567,155.8132914979756
26590,USA,United States of America,Pakini Nui Wind Farm,USA0056378,21.0,18.9742,-155.6914,Wind,,,,2007.0,Apollo Energy Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,59597,2017.0,114.715,103.59,97.903,108.686,76.47200000000001,
26591,USA,United States of America,Pala Energy Storage Yard,USA0060566,1.5,33.3565,-117.1136,Storage,,,,2014.3333333333333,SDGE Batteries,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,,-0.004,-0.008,
26592,USA,United States of America,Palaau Power,USA0000792,17.099999999999998,21.106,-157.0647,Oil,Storage,,,1992.918128654971,Maui Electric Co Ltd,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,32.126000000000005,31.83,0.0,0.0,31.086,
26593,USA,United States of America,Palisades,USA0001715,811.8,42.323,-86.3146,Nuclear,,,,1972.0,Entergy Nuclear Palisades LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17535,2017.0,6041.696,5822.926,6318.52,7045.1810000000005,6097.496,
26594,USA,United States of America,Palisades Dam,USA0000850,176.4,43.3348,-111.2058,Hydro,,,,1957.25,U S Bureau of Reclamation,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,35660,2017.0,356.031,513.643,626.348,581.315,688.052,
26595,USA,United States of America,Palm Beach Renewable Energy Facility 1,USA0050071,62.3,26.7714,-80.1419,Waste,,,,1989.0,Solid Waste Authority of Palm Beach Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,338.307001,350.20000600000003,274.822997,305.055003,258.593998,
26596,USA,United States of America,Palm Beach Renewable Energy Facility 2,USA0057898,96.0,26.7724,-80.1418,Waste,Gas,,,2015.0,Solid Waste Authority of Palm Beach Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017.0,,,242.020996,484.91099600000007,513.889992,0.0
